Reference, Value, Footprint, Datasheet, FN, Family, MFR, PN, VENDOR, VSN, Value
C20,0.47uF,Capacitors_SMD:C_0805,,26,CAP,KEMET,C0805C474K5RACTU,Digikey,399-8100-1-ND,0.47uF
R73,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R72,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
Q18,2N2222,,,18,SEM,DIODES INC,MMBT2222A-7-F,Digikey,MMBT2222A-FDICT-ND,2N2222
J20,BOXHDR-2x10,,,47,CON,CNC TECH,3020-20-0300-00,Digikey,1175-1623-ND,BOXHDR-2x10
J19,HDR-1x6,,,52,CON,SULLINS,GBC06SGSN-M89,Digikey,S1143E-06-ND,HDR-1x6
C52,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
C53,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R109,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
R110,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
U24,LM3526-L,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,11,IC,NATIONAL (TI),LM3526M-L/NOPB,Digikey,LM3526M-L/NOPB-ND,LM3526-L
J23,USB-MICRO-B,Connect:USB_Micro-B,,43,CON,AMPHENOL FCI,10104110-0001LF,Digikey,609-4052-1-ND,USB-MICRO-B
C21,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
R86,100K,Resistors_SMD:R_0805,,39,RES,ROHM,MCR10ERTF1003,Digikey,RHM100KCHCT-ND,100K
C22,10uF,,,29,CAP,KEMET,T494B106M016AT,Digikey,399-8446-1-ND,10uF
R94,15K,Resistors_SMD:R_0805,,37,RES,ROHM,MCR10ERTF1502,Digikey,RHM15.0KCHCT-ND,15.0K
R95,15K,Resistors_SMD:R_0805,,37,RES,ROHM,MCR10ERTF1502,Digikey,RHM15.0KCHCT-ND,15.0K
